inp	gt
རྔས	རྔས
ཟབ	ཟབ
ཐིམ	ཐིམ
བགྲི	བགྲི
བསྐེ	བསྐེ
སྐྱ	སྐྱ
ཆང	ཆང
བཤུ	བཤུ
གོག	གོག
རྡེད	རྡེད
ཡས	ཡས
ལྗུས	ལྗུས
ཛན	ཛན
གིབ	གིབ
ཏའ	ཏའ
ཀེན	ཀེན
རེའ	རེའ
ཅོབ	ཅོབ
བྱི	བྱི
ཨེལ	ཨེལ
ཅོད	ཅོད
ལྟས	ལྟས
མིམ	མིམ
ལྔམ	ལྔམ
སྤྱོ	སྤྱོ
དུད	དུད
བཏི	བཏི
རྐའ	རྐའ
ལྕེམ	ལྕེམ
རྟེ	རྟེ
རྨེས	རྨེས
རྡུང	རྡུང
ཇེར	ཇེར
དིར	དིར
རྟོས	རྟོས
དམྲོ	དམྲོ
ཅེལ	ཅེལ
ཞོའ	ཞོའ
དུལ	དུལ
རེས	རེས
ཀྱི	ཀྱི
ཐུའ	ཐུའ
ཁོའ	ཁོའ
ལྒལ	ལྒལ
རྨི	རྨི
བཀི	བཀི
ཇོར	ཇོར
རྐྱ	རྐྱ
སྒྲུ	སྒྲུ
ཙོག	ཙོག
ལིར	ལིར
མིག	མིག
བསྐ	བསྐ
ཅོའ	ཅོའ
རྩུང	རྩུང
ཝིག	ཝིག
འིད	འིད
ཞང	ཞང
ཉི	ཉི
རྦིན	རྦིན
ངིའ	ངིའ
ལྟ	ལྟ
སྨི	སྨི
ཕད	ཕད
རྡོམ	རྡོམ
ལྗུང	ལྗུང
བདུ	བདུ
རྐིས	རྐིས
མུལ	མུལ
ཙིའ	ཙིའ
ཙོབ	ཙོབ
ཡུབ	ཡུབ
དབྱེ	དབྱེ
ལྦུབ	ལྦུབ
ངེམ	ངེམ
ཨིལ	ཨིལ
རྔོན	རྔོན
སྐྲེ	སྐྲེ
ཝོའ	ཝོའ
བསྐྲུ	བསྐྲུ
པེང	པེང
རྡོང	རྡོང
ལྟེད	ལྟེད
གཅ	གཅ
ཟས	ཟས
ལྤེ	ལྤེ
ཕུས	ཕུས
ཐྲ	ཐྲ
བསྐྲི	བསྐྲི
ཇིམ	ཇིམ
རད	རད
ལྔི	ལྔི
སྦྱོ	སྦྱོ
གང	གང
རུལ	རུལ
ཆེད	ཆེད
ཐུལ	ཐུལ
ཡུད	ཡུད
ལྟིད	ལྟིད
ཐིར	ཐིར
ཇོན	ཇོན
བསྣི	བསྣི
བོ	བོ
ལྗེབ	ལྗེབ
གཙོ	གཙོ
ཤུས	ཤུས
རྙེབ	རྙེབ
ཚན	ཚན
ལེར	ལེར
ཏག	ཏག
རྗེར	རྗེར
རྩེས	རྩེས
འཁ	འཁ
འེ	འེ
པོལ	པོལ
འདྲོ	འདྲོ
ཏུའ	ཏུའ
ལྕབ	ལྕབ
འོང	འོང
ལམ	ལམ
བོལ	བོལ
ངོན	ངོན
ཇོལ	ཇོལ
བཅི	བཅི
འཁྲུ	འཁྲུ
ངེལ	ངེལ
བསྙི	བསྙི
ལྔུག	ལྔུག
ཤེམ	ཤེམ
སྙོ	སྙོ
དཀོ	དཀོ
རེལ	རེལ
ཅེན	ཅེན
བགྲེ	བགྲེ
ལྗན	ལྗན
རིད	རིད
ཁལ	ཁལ
གྱ	གྱ
རླི	རླི
རྔམ	རྔམ
ལྦུན	ལྦུན
ཙེག	ཙེག
མཐ	མཐ
དམེ	དམེ
བིམ	བིམ
རྙིག	རྙིག
གེམ	གེམ
ཧོམ	ཧོམ
དཀྲ	དཀྲ
རྨིའ	རྨིའ
ཇང	ཇང
པོང	པོང
རྒིར	རྒིར
པེ	པེ
བའ	བའ
དེར	དེར
ཕྱེ	ཕྱེ
ཐེ	ཐེ
ཕེའ	ཕེའ
གཞི	གཞི
བཅ	བཅ
སུའ	སུའ
ལྗིན	ལྗིན
ཕིན	ཕིན
རྔོར	རྔོར
དེན	དེན
དིག	དིག
ནིན	ནིན
ལྷག	ལྷག
ཡུ	ཡུ
ཤའ	ཤའ
ལྐེམ	ལྐེམ
འཚུ	འཚུ
ཇུམ	ཇུམ
སྨྱི	སྨྱི
ཕིས	ཕིས
ལྒེན	ལྒེན
སྤྱི	སྤྱི
བལྡེ	བལྡེ
བརྫུ	བརྫུ
རྣོབ	རྣོབ
འགྱ	འགྱ
རྒྱ	རྒྱ
སྟ	སྟ
ཐའ	ཐའ
རྦོང	རྦོང
ཙེ	ཙེ
ནུའ	ནུའ
ཞུས	ཞུས
སེད	སེད
ཤོ	ཤོ
འིང	འིང
རྡེམ	རྡེམ
མྱུ	མྱུ
ཏལ	ཏལ
ཟུས	ཟུས
ངོག	ངོག
རྡེར	རྡེར
རུབ	རུབ
རྐེད	རྐེད
མཁྲི	མཁྲི
གཟ	གཟ
རྣིའ	རྣིའ
དཀྱོ	དཀྱོ
ལྗལ	ལྗལ
བརྣེ	བརྣེ
ལྐིན	ལྐིན
ཁྱོ	ཁྱོ
ལྕུམ	ལྕུམ
འབི	འབི
ཡོལ	ཡོལ
ཆེ	ཆེ
ནོད	ནོད
ཐེབ	ཐེབ
ལྦེམ	ལྦེམ
ཀེག	ཀེག
གེང	གེང
ཁབ	ཁབ
གིའ	གིའ
རྐང	རྐང
འེག	འེག
རྔུང	རྔུང
ཙེད	ཙེད
སྦུ	སྦུ
རྟན	རྟན
རྒེ	རྒེ
ཕོབ	ཕོབ
ལྡིའ	ལྡིའ
ཨིར	ཨིར
གཤ	གཤ
ནིའ	ནིའ
རྦལ	རྦལ
ཧེ	ཧེ
ཉེས	ཉེས
སྐྱུ	སྐྱུ
མཛུ	མཛུ
ཏྲེ	ཏྲེ
ལྗེམ	ལྗེམ
ཚིབ	ཚིབ
ཙེར	ཙེར
རྫེད	རྫེད
རྔབ	རྔབ
རྣག	རྣག
རལ	རལ
ཞུར	ཞུར
རྡུམ	རྡུམ
འའ	འའ
ལྡུན	ལྡུན
བཟོ	བཟོ
ལྒུས	ལྒུས
རྙུལ	རྙུལ
མཀྲ	མཀྲ
དཀ	དཀ
མིར	མིར
ཧིད	ཧིད
ཛིན	ཛིན
ཁྭ	ཁྭ
སྤོ	སྤོ
དཀྱེ	དཀྱེ
རྨེལ	རྨེལ
ཇམ	ཇམ
མོག	མོག
རྙོང	རྙོང
བགྱུ	བགྱུ
ཉོམ	ཉོམ
ཁིའ	ཁིའ
ལྦུ	ལྦུ
ནུ	ནུ
ཉེའ	ཉེའ
རྨེའ	རྨེའ
མཆ	མཆ
ལྔིར	ལྔིར
བྲུ	བྲུ
ལྕེབ	ལྕེབ
ཏོལ	ཏོལ
འིག	འིག
རྣིག	རྣིག
གད	གད
རྙུབ	རྙུབ
ཝའ	ཝའ
བསུ	བསུ
རྦོད	རྦོད
རིལ	རིལ
བཞ	བཞ
རྗོབ	རྗོབ
ལྗིར	ལྗིར
ལྐག	ལྐག
ཟེ	ཟེ
ཉུང	ཉུང
ཚེད	ཚེད
སྟི	སྟི
བསྡོ	བསྡོ
ཏུད	ཏུད
འམ	འམ
པད	པད
ལྗང	ལྗང
མིས	མིས
རྦིས	རྦིས
ཀུར	ཀུར
དུ	དུ
ལྕུན	ལྕུན
རྫིར	རྫིར
ཞུང	ཞུང
ཚར་	ཚར་
ལྷུད	ལྷུད
དམོ	དམོ
ནོམ	ནོམ
རྣོང	རྣོང
རྗིམ	རྗིམ
ངོར	ངོར
ལྕིར	ལྕིར
གོན	གོན
ཅོར	ཅོར
ནེད	ནེད
ལོའ	ལོའ
ལྗུའ	ལྗུའ
བརྒེ	བརྒེ
ལྡེབ	ལྡེབ
བགྱི	བགྱི
རྦའ	རྦའ
ཀེས	ཀེས
རྗུབ	རྗུབ
ལྟིམ	ལྟིམ
འགྲོ	འགྲོ
རྨོན	རྨོན
རྒེད	རྒེད
དམུ	དམུ
ཉེན	ཉེན
ཧས	ཧས
བསྟི	བསྟི
བཙ	བཙ
བིག	བིག
ལྡང	ལྡང
ཀུའ	ཀུའ
ཝུམ	ཝུམ
རིས	རིས
ཇུད	ཇུད
འཁྲ	འཁྲ
ཅིད	ཅིད
ལྗུ	ལྗུ
རྔེས	རྔེས
ཤས	ཤས
ལྗོ	ལྗོ
ལྐུས	ལྐུས
རྨྱུ	རྨྱུ
བོང	བོང
གབ	གབ
མཁྱི	མཁྱི
དབྲི	དབྲི
འོན	འོན
ཁེའ	ཁེའ
བརྣ	བརྣ
རོ	རོ
ལྡིར	ལྡིར
གཏོ	གཏོ
རྦེལ	རྦེལ
པྲེ	པྲེ
ཐད	ཐད
ཡེའ	ཡེའ
ཟོམ	ཟོམ
ཀྱུ	ཀྱུ
ཧོའ	ཧོའ
ཏམ	ཏམ
ལྐོ	ལྐོ
རྫད	རྫད
རྣེབ	རྣེབ
ཀིང	ཀིང
རྫན	རྫན
བསྡེ	བསྡེ
རྫག	རྫག
འར	འར
ལྒུང	ལྒུང
ནིད	ནིད
རྣས	རྣས
ཚིད	ཚིད
ཕམ	ཕམ
རྫིང	རྫིང
ཨོར	ཨོར
ངིམ	ངིམ
རོར	རོར
ལྦེང	ལྦེང
རྒོམ	རྒོམ
བརྒི	བརྒི
སྲོ	སྲོ
མཚེ	མཚེ
བསླི	བསླི
ཨད	ཨད
ཚོན	ཚོན
ཇོ	ཇོ
བརྐྱེ	བརྐྱེ
རྔུན	རྔུན
རྐོག	རྐོག
རྫུལ	རྫུལ
རྗི	རྗི
རྙལ	རྙལ
ལྡས	ལྡས
འུས	འུས
ལོམ	ལོམ
ཟེར	ཟེར
ཤིལ	ཤིལ
སློ	སློ
པུམ	པུམ
ལྒའ	ལྒའ
ལྔས	ལྔས
སྙེ	སྙེ
རྦབ	རྦབ
མཛི	མཛི
ཅོན	ཅོན
སྣ	སྣ
དྲི	དྲི
ལྟེའ	ལྟེའ
དེལ	དེལ
རྩེལ	རྩེལ
ལྕག	ལྕག
རྦུར	རྦུར
རྫེན	རྫེན
ཞིད	ཞིད
སུལ	སུལ
རྨབ	རྨབ
ལྒ	ལྒ
ལྐུར	ལྐུར
ཤད	ཤད
མཁྱེ	མཁྱེ
ཙུལ	ཙུལ
ཏིབ	ཏིབ
འདྲུ	འདྲུ
སྨྲི	སྨྲི
ལྤོ	ལྤོ
ལྒུག	ལྒུག
རྗིད	རྗིད
ལྒུལ	ལྒུལ
ཇས	ཇས
ལྟུབ	ལྟུབ
ལྒེབ	ལྒེབ
སྒྱོ	སྒྱོ
ཤུལ	ཤུལ
རྟོང	རྟོང
ཝུབ	ཝུབ
ཇལ	ཇལ
དགྱ	དགྱ
ཕེལ	ཕེལ
སྐྲ	སྐྲ
བརྩོ	བརྩོ
ལེས	ལེས
ཤྭ	ཤྭ
ཚའ	ཚའ
ཝུའ	ཝུའ
ཛུ	ཛུ
རྡིས	རྡིས
ཤོར	ཤོར
ཉམ	ཉམ
བླུ	བླུ
ཁར	ཁར
རྔོལ	རྔོལ
རྡུའ	རྡུའ
ནེར	ནེར
སྦ	སྦ
ཐུང	ཐུང
ཏོས	ཏོས
ལིབ	ལིབ
རྫེར	རྫེར
ལྗེག	ལྗེག
མི	མི
ཟོ	ཟོ
པེམ	པེམ
ཀིས	ཀིས
ནུབ	ནུབ
སོས	སོས
ཏིས	ཏིས
ལྕིལ	ལྕིལ
རྒུད	རྒུད
ཕའ	ཕའ
ནས	ནས
ལྒེང	ལྒེང
ལྗུན	ལྗུན
རྦིག	རྦིག
ཛེལ	ཛེལ
བསྣོ	བསྣོ
ཕུལ	ཕུལ
རྔི	རྔི
ལྐུལ	ལྐུལ
སེང	སེང
ཁིམ	ཁིམ
འགྲེ	འགྲེ
རྨམ	རྨམ
ལྟུར	ལྟུར
དྲེ	དྲེ
ལེག	ལེག
ཞོད	ཞོད
ཐུ	ཐུ
རྐེབ	རྐེབ
ཇན	ཇན
རེན	རེན
རྩོན	རྩོན
ཧམ	ཧམ
པེབ	པེབ
ལྕིང	ལྕིང
ཧིའ	ཧིའ
ངུང	ངུང
ཚོས	ཚོས
སང	སང
ཏེང	ཏེང
ཚིར	ཚིར
རྨིམ	རྨིམ
གཟུ	གཟུ
རྙོའ	རྙོའ
རྙོས	རྙོས
བྲི	བྲི
ཕྱུ	ཕྱུ
ངོབ	ངོབ
ལྒི	ལྒི
སར	སར
རྙུད	རྙུད
ཐེག	ཐེག
ཧེལ	ཧེལ
མོལ	མོལ
སྒྱ	སྒྱ
ལྗིལ	ལྗིལ
ལྟིའ	ལྟིའ
རྒིག	རྒིག
ལྡག	ལྡག
ཛིད	ཛིད
ཧོག	ཧོག
རྣ	རྣ
གྭ	གྭ
ལུམ	ལུམ
རྔུད	རྔུད
རྔོང	རྔོང
ཧེས	ཧེས
ལྒང	ལྒང
བསེ	བསེ
རྫོན	རྫོན
བློ	བློ
རྟ	རྟ
ཆུད	ཆུད
ཟླུ	ཟླུ
རྩིའ	རྩིའ
རྔད	རྔད
འིས	འིས
ལྟུང	ལྟུང
རྔེབ	རྔེབ
རྗུམ	རྗུམ
ལང	ལང
རྣོད	རྣོད
ཕོལ	ཕོལ
ཝབ	ཝབ
ཅིའ	ཅིའ
རྩུམ	རྩུམ
རྨུད	རྨུད
གཡོ	གཡོ
ཙུང	ཙུང
པོད	པོད
ཅག	ཅག
ཨུལ	ཨུལ
སིད	སིད
རྣིམ	རྣིམ
ཇོས	ཇོས
ལྦག	ལྦག
ཁེན	ཁེན
ཐེལ	ཐེལ
རྙིལ	རྙིལ
ཞྭ	ཞྭ
རྣུམ	རྣུམ
ཧུ	ཧུ
ཟོན	ཟོན
ཏུན	ཏུན
ནེབ	ནེབ
དོན	དོན
རྒུས	རྒུས
སས	སས
ལྤུས	ལྤུས
རྐར	རྐར
ལྦད	ལྦད
རྨུར	རྨུར
དུའ	དུའ
མོབ	མོབ
རྩེའ	རྩེའ
ཐོང	ཐོང
རུ	རུ
བགྲུ	བགྲུ
སླུ	སླུ
ཆོན	ཆོན
བན	བན
ལྦེན	ལྦེན
ཛོད	ཛོད
ཟེའ	ཟེའ
ལྒེག	ལྒེག
ངུའ	ངུའ
ཧྲ	ཧྲ
ཝེང	ཝེང
བལྟོ	བལྟོ
ཏོམ	ཏོམ
ལྟུག	ལྟུག
མགྲོ	མགྲོ
རྦུལ	རྦུལ
གསེ	གསེ
བརྒྱུ	བརྒྱུ
རྩམ	རྩམ
འབྱ	འབྱ
ཟུར	ཟུར
ཕོན	ཕོན
ལྤབ	ལྤབ
ལྐིས	ལྐིས
འབྲ	འབྲ
ལྕུད	ལྕུད
རྒེམ	རྒེམ
ཆོམ	ཆོམ
ཀེ	ཀེ
རྨེ	རྨེ
བསླེ	བསླེ
སྒི	སྒི
སྦྱེ	སྦྱེ
རྫང	རྫང
དིན	དིན
ནོག	ནོག
ཀེའ	ཀེའ
སབ	སབ
བསྔུ	བསྔུ
པི	པི
ལྐེ	ལྐེ
ངས	ངས
ལད	ལད
ཨས	ཨས
ལྔའ	ལྔའ
མོས	མོས
དད	དད
ཡུལ	ཡུལ
འཁྱུ	འཁྱུ
རྙུམ	རྙུམ
ནིག	ནིག
ལྡེན	ལྡེན
ལྐམ	ལྐམ
ཅེའ	ཅེའ
རྙི	རྙི
བསྡ	བསྡ
རྗན	རྗན
ཅང	ཅང
ལུན	ལུན
ལྟིར	ལྟིར
རྡུད	རྡུད
པྱི	པྱི
གདེ	གདེ
དྲ	དྲ
ལྒིའ	ལྒིའ
རྒའ	རྒའ
རུས	རུས
ལྕུག	ལྕུག
རླ	རླ
ལྤུ	ལྤུ
ཨིད	ཨིད
ངུན	ངུན
བསྔི	བསྔི
ཐོད	ཐོད
འིར	འིར
ལྡལ	ལྡལ
ཨུག	ཨུག
མང	མང
མོད	མོད
མེས	མེས
ལྷེའ	ལྷེའ
ངོད	ངོད
བླེ	བླེ
ཤིར	ཤིར
ཐེང	ཐེང
ལྟེག	ལྟེག
ཟུལ	ཟུལ
ཉོག	ཉོག
དོ	དོ
ཧོས	ཧོས
ཚེས	ཚེས
རྡེང	རྡེང
བརྐྱུ	བརྐྱུ
ཀོ	ཀོ
ཙེའ	ཙེའ
ཝོས	ཝོས
ཧབ	ཧབ
ལྤུའ	ལྤུའ
ཙིར	ཙིར
རྒིན	རྒིན
ཞོབ	ཞོབ
ཟུའ	ཟུའ
བཞེ	བཞེ
པེན	པེན
སེ	སེ
སག	སག
ཀའ	ཀའ
ལྐང	ལྐང
འཛ	འཛ
སྒེ	སྒེ
རྙེག	རྙེག
འཆ	འཆ
རྨུང	རྨུང
ཟང	ཟང
སྦྲུ	སྦྲུ
པུ	པུ
གེག	གེག
སེན	སེན
རྗིག	རྗིག
སོལ	སོལ
གུར	གུར
བཀྱི	བཀྱི
ཆོག	ཆོག
རྗིལ	རྗིལ
རྟུད	རྟུད
རྗེམ	རྗེམ
ལྦུས	ལྦུས
མགི	མགི
རྐྱོ	རྐྱོ
ཁྲི	ཁྲི
འཇེ	འཇེ
བསྟོ	བསྟོ
རྫོ	རྫོ
ཁོར	ཁོར
ལྷེ	ལྷེ
ལྭ	ལྭ
ཧེང	ཧེང
རྦོས	རྦོས
རེ	རེ
ནོས	ནོས
ལྗེང	ལྗེང
རང	རང
ཨུས	ཨུས
བརྐེ	བརྐེ
ལྤུན	ལྤུན
ལྕིམ	ལྕིམ
ཛེམ	ཛེམ
རྨོ	རྨོ
ཧུམ	ཧུམ
ཨེང	ཨེང
ལྷེན	ལྷེན
ཁྲོ	ཁྲོ
ལྕད	ལྕད
མོའ	མོའ
ཁྲིད	ཁྲིད
རྒན	རྒན
རྩང	རྩང
རྩབ	རྩབ
རྙབ	རྙབ
རེམ	རེམ
མུང	མུང
ཝུན	ཝུན
ཝུང	ཝུང
རྟང	རྟང
རྣོན	རྣོན
འཕོ	འཕོ
ལྒིམ	ལྒིམ
ཙེལ	ཙེལ
སྣྲེ	སྣྲེ
དབྲེ	དབྲེ
དམ	དམ
རྩེང	རྩེང
ཉྭ	ཉྭ
ལྗུམ	ལྗུམ
ཝེལ	ཝེལ
བྱེ	བྱེ
ཁོལ	ཁོལ
ཡབ	ཡབ
འཕི	འཕི
ཚུས	ཚུས
ཅིལ	ཅིལ
རྗོ	རྗོ
འཁྱོ	འཁྱོ
མའ	མའ
རྣེས	རྣེས
ལྟུས	ལྟུས
གེབ	གེབ
ཏུག	ཏུག
བརྡེ	བརྡེ
རྦུས	རྦུས
ཅོལ	ཅོལ
ལྕིད	ལྕིད
རྒིའ	རྒིའ
ཐིང	ཐིང
ཀོས	ཀོས
བསྐྲོ	བསྐྲོ
རྐུལ	རྐུལ
ལིམ	ལིམ
ངན	ངན
ཀྲ	ཀྲ
རྩད	རྩད
ལྕུལ	ལྕུལ
གུལ	གུལ
ཀིའ	ཀིའ
ནེའ	ནེའ
བཙུ	བཙུ
རྨེད	རྨེད
ལྤས	ལྤས
རྗམ	རྗམ
བརྔི	བརྔི
རྦར	རྦར
ཉིས	ཉིས
ལོབ	ལོབ
རོན	རོན
ལྷིབ	ལྷིབ
ཐང	ཐང
མཉི	མཉི
ཏེད	ཏེད
ལྡུའ	ལྡུའ
བྱ	བྱ
ཁྱུ	ཁྱུ
ཨུ	ཨུ
ཏུར	ཏུར
རྙེ	རྙེ
ཙབ	ཙབ
ལྒུན	ལྒུན
རྣར	རྣར
རྟབ	རྟབ
ཚི	ཚི
ཕུར	ཕུར
མཉོ	མཉོ
འོར	འོར
དོར	དོར
ལེང	ལེང
ཤུ	ཤུ
རྦིབ	རྦིབ
འཕྱུ	འཕྱུ
ཀླུ	ཀླུ
ལྗེའ	ལྗེའ
ཞོ	ཞོ
ལྦེའ	ལྦེའ
འཆུ	འཆུ
ཕིད	ཕིད
ཆིང	ཆིང
གཙུ	གཙུ
རྔོམ	རྔོམ
ཧད	ཧད
རྐོང	རྐོང
ཀད	ཀད
སིག	སིག
ཏེབ	ཏེབ
མྱེ	མྱེ
ཅུ	ཅུ
རྐུའ	རྐུའ
བིས	བིས
རྐིད	རྐིད
ཇིང	ཇིང
རྙར	རྙར
ཇད	ཇད
རྩའ	རྩའ
ཛེང	ཛེང
གྱེ	གྱེ
ཐུན	ཐུན
གུན	གུན
པུས	པུས
ཝེག	ཝེག
ལྐི	ལྐི
བརྐུ	བརྐུ
རྒང	རྒང
ལྟོ	ལྟོ
ཉིག	ཉིག
སྦི	སྦི
ཅོག	ཅོག
ངང	ངང
རྙུང	རྙུང
ཅུར	ཅུར
འཐུ	འཐུ
སྒྲི	སྒྲི
གྱུ	གྱུ
གློ	གློ
ཡན	ཡན
མགོ	མགོ
ཟེད	ཟེད
ཆལ	ཆལ
པིད	པིད
གིལ	གིལ
རྗོམ	རྗོམ
གྱི	གྱི
ལྦིབ	ལྦིབ
རྡོད	རྡོད
རྡི	རྡི
ཞེག	ཞེག
ལྷེམ	ལྷེམ
ལྐན	ལྐན
རྗེང	རྗེང
ཟོད	ཟོད
པོ	པོ
རྐིན	རྐིན
ཡིབ	ཡིབ
ལྕར	ལྕར
ཤལ	ཤལ
མགྲ	མགྲ
རྣོག	རྣོག
བེབ	བེབ
ཆུག	ཆུག
གཡུ	གཡུ
འཕྲེ	འཕྲེ
དཀུ	དཀུ
སུ	སུ
ལྒད	ལྒད
ཚང	ཚང
བརྐྱ	བརྐྱ
བསྲེ	བསྲེ
ངིད	ངིད
ནོའ	ནོའ
སྡ	སྡ
ཝིམ	ཝིམ
ཞུའ	ཞུའ
ཕུབ	ཕུབ
ལྕ	ལྕ
རོད	རོད
རྣན	རྣན
ཛིལ	ཛིལ
ཕག	ཕག
ཉུ	ཉུ
ཧེན	ཧེན
དགུ	དགུ
ལོག	ལོག
ཛོ	ཛོ
མངོ	མངོ
སི	སི
བརྣི	བརྣི
རྡོག	རྡོག
སྐྲི	སྐྲི
ཧེབ	ཧེབ
ཅུས	ཅུས
རིག	རིག
ཡེལ	ཡེལ
རྐབ	རྐབ
ཁེབ	ཁེབ
ཚིན	ཚིན
རྒལ	རྒལ
རྗིན	རྗིན
ཇིན	ཇིན
མུར	མུར
ཁུས	ཁུས
ལྷུག	ལྷུག
ཞོན	ཞོན
ལྗུལ	ལྗུལ
ཟོབ	ཟོབ
བིབ	བིབ
རྦུད	རྦུད
ལྤིལ	ལྤིལ
གིག	གིག
དཀི	དཀི
འུད	འུད
སྨོ	སྨོ
གུའ	གུའ
བསྟེ	བསྟེ
རྡིད	རྡིད
ཟུམ	ཟུམ
ལྒུབ	ལྒུབ
ཉུལ	ཉུལ
ཨུན	ཨུན
ལྕེག	ལྕེག
ལའ	ལའ
པྲོ	པྲོ
ཅུག	ཅུག
མྱ	མྱ
རྐུག	རྐུག
ལྕིས	ལྕིས
རྣེམ	རྣེམ
བརླེ	བརླེ
ལྷིན	ལྷིན
རྡད	རྡད
ལྗབ	ལྗབ
བེག	བེག
བགླ	བགླ
ཕེམ	ཕེམ
ལྷུབ	ལྷུབ
དཔྱེ	དཔྱེ
ལྟག	ལྟག
གཟོ	གཟོ
དམྲེ	དམྲེ
ངུད	ངུད
ཆིད	ཆིད
ནུམ	ནུམ
ཀེབ	ཀེབ
ལྡུག	ལྡུག
རིམ	རིམ
ཤེའ	ཤེའ
རུའ	རུའ
ཧུལ	ཧུལ
ཅེས	ཅེས
ལྡིལ	ལྡིལ
ཀིམ	ཀིམ
ཟིང	ཟིང
ཛོང	ཛོང
ཨེན	ཨེན
དཔོ	དཔོ
དགྲོ	དགྲོ
འབོ	འབོ
འཐི	འཐི
སྔ	སྔ
རྡིར	རྡིར
རྐྱེ	རྐྱེ
ལྔུང	ལྔུང
ཁུ	ཁུ
ལྐར	ལྐར
ཏི	ཏི
ལུད	ལུད
ཐར	ཐར
ཨམ	ཨམ
བརྟུ	བརྟུ
ཕོར	ཕོར
ངལ	ངལ
ཆོལ	ཆོལ
བཞི	བཞི
རྐག	རྐག
ཧར	ཧར
རྡོན	རྡོན
ཡེག	ཡེག
ཙོམ	ཙོམ
ལྟུད	ལྟུད
ཟི	ཟི
ཕི	ཕི
ཇིས	ཇིས
ལྤ	ལྤ
པོར	པོར
ཅད	ཅད
རྗེལ	རྗེལ
རྫོམ	རྫོམ
བརྟེ	བརྟེ
འེར	འེར
ལྔིད	ལྔིད
ཅིག	ཅིག
ཟེམ	ཟེམ
ཙུབ	ཙུབ
ཛོར	ཛོར
རྦམ	རྦམ
བོབ	བོབ
རིན	རིན
གླི	གླི
ཙང	ཙང
ཡིག	ཡིག
ཀོལ	ཀོལ
ཐིག	ཐིག
རྗོན	རྗོན
ཛེབ	ཛེབ
པའ	པའ
ཉོལ	ཉོལ
རྟོན	རྟོན
སེག	སེག
ཝིས	ཝིས
བོར	བོར
རྐྱི	རྐྱི
སྣི	སྣི
རྟིའ	རྟིའ
རྣོའ	རྣོའ
གཙ	གཙ
ལྟུ	ལྟུ
ལྷུར	ལྷུར
རྡུལ	རྡུལ
ཞིས	ཞིས
གེར	གེར
པུན	པུན
ཚོ	ཚོ
བེས	བེས
འཁུ	འཁུ
ཉིང	ཉིང
བཀུ	བཀུ
སྤྱེ	སྤྱེ
རྣུའ	རྣུའ
དབི	དབི
ཡིམ	ཡིམ
གར	གར
རྡང	རྡང
ལྦུའ	ལྦུའ
རྨྱེ	རྨྱེ
རྩིར	རྩིར
ལྗམ	ལྗམ
མཇ	མཇ
མཇུ	མཇུ
ཕོ	ཕོ
མཉེ	མཉེ
གོར	གོར
ཡེར	ཡེར
སེས	སེས
རྡེའ	རྡེའ
རྫོལ	རྫོལ
སལ	སལ
རྐུར	རྐུར
ཟམ	ཟམ
མེན	མེན
གྱོ	གྱོ
ལྗུག	ལྗུག
ཧུག	ཧུག
ལྟལ	ལྟལ
ཙལ	ཙལ
བརྫི	བརྫི
ལྦིལ	ལྦིལ
རྐེང	རྐེང
ལྤེམ	ལྤེམ
རྗེའ	རྗེའ
ཨོན	ཨོན
རྒིང	རྒིང
ངིག	ངིག
ཏེལ	ཏེལ
ལྡིམ	ལྡིམ
ངེ	ངེ
རྗལ	རྗལ
ཨང	ཨང
རྨ	རྨ
ཨར	ཨར
ཟིར	ཟིར
ཅིར	ཅིར
རྡིལ	རྡིལ
སིས	སིས
རྦེབ	རྦེབ
ཀིད	ཀིད
ཁུན	ཁུན
བིལ	བིལ
ཛུམ	ཛུམ
རྣིས	རྣིས
ཡོ	ཡོ
ཏོའ	ཏོའ
ཉོད	ཉོད
བཀླེ	བཀླེ
ལྐེའ	ལྐེའ
ཐོབ	ཐོབ
འད	འད
ཇབ	ཇབ
ཆེས	ཆེས
དབྲ	དབྲ
རྒེའ	རྒེའ
རྫིལ	རྫིལ
ཨེད	ཨེད
གཞེ	གཞེ
ལུག	ལུག
མཐུ	མཐུ
ལྕས	ལྕས
ཁས	ཁས
ལྟེན	ལྟེན
ཀྭ	ཀྭ
རྗིའ	རྗིའ
རྡག	རྡག
ལྒུའ	ལྒུའ
ཉུག	ཉུག
བརྩ	བརྩ
རླུ	རླུ
རྒེས	རྒེས
བིན	བིན
རྐིང	རྐིང
ལྗེ	ལྗེ
ཇིའ	ཇིའ
ཕྲེ	ཕྲེ
ལྡར	ལྡར
ལྕེ	ལྕེ
ཝག	ཝག
དགྱུ	དགྱུ
གུ	གུ
མུབ	མུབ
ཡེས	ཡེས
ལྤུང	ལྤུང
ཕིབ	ཕིབ
རྗར	རྗར
ཡོན	ཡོན
ལྕིན	ལྕིན
ཇུར	ཇུར
རྣལ	རྣལ
ཅོས	ཅོས
སྙི	སྙི
རྗུལ	རྗུལ
རྐོན	རྐོན
རྒོད	རྒོད
རྡིའ	རྡིའ
ཨུང	ཨུང
རྨྱི	རྨྱི
རྡབ	རྡབ
རྡོར	རྡོར
གེལ	གེལ
རྔུའ	རྔུའ
ཟློ	ཟློ
བརྔེ	བརྔེ
ལྡུད	ལྡུད
སྨྱ	སྨྱ
ཙོ	ཙོ
